RECEITAS,UF,VALOR,DATA
TOTAL GERAL,DF,8901350034.199175,2016-06-30
TOTAL GERAL,ES,1365037450.5994048,2016-06-30
TOTAL GERAL,GO,1100888475.2220256,2016-06-30
TOTAL GERAL,MA,561864659.3343637,2016-06-30
TOTAL GERAL,MG,5093371269.453045,2016-06-30
TOTAL GERAL,MS,555455322.3170159,2016-06-30
TOTAL GERAL,MT,689270149.4580029,2016-06-30
TOTAL GERAL,PA,774789141.2950501,2016-06-30
TOTAL GERAL,PB,455106621.88756394,2016-06-30
TOTAL GERAL,PE,1630361794.3869274,2016-06-30
TOTAL GERAL,PI,288220451.62551355,2016-06-30
TOTAL GERAL,PR,5043687583.090958,2016-06-30
TOTAL GERAL,RJ,15784982884.74159,2016-06-30
TOTAL GERAL,RN,405959965.99718773,2016-06-30
TOTAL GERAL,RO,223749591.65949684,2016-06-30
TOTAL GERAL,RR,81689591.29997309,2016-06-30
TOTAL GERAL,RS,4801057720.685765,2016-06-30
TOTAL GERAL,SC,3519386001.650545,2016-06-30
TOTAL GERAL,SE,307370183.01874995,2016-06-30
TOTAL GERAL,SP,41630154334.18432,2016-06-30
TOTAL GERAL,TO,148529971.09627968,2016-06-30
TOTAL GERAL,AC,99647640.03294876,2016-07-31
TOTAL GERAL,AL,313634993.5122994,2016-07-31
TOTAL GERAL,AM,1069664872.674519,2016-07-31
TOTAL GERAL,AP,78238599.26713055,2016-07-31
TOTAL GERAL,BA,2081073920.8093953,2016-07-31
TOTAL GERAL,CE,1536202513.328873,2016-07-31
TOTAL GERAL,DF,10246010259.36376,2016-07-31
TOTAL GERAL,ES,1445933417.5065837,2016-07-31
TOTAL GERAL,GO,1267086714.0021534,2016-07-31
TOTAL GERAL,MA,591921798.7535479,2016-07-31
TOTAL GERAL,MG,5853335686.753125,2016-07-31
TOTAL GERAL,MS,602376178.9198489,2016-07-31
TOTAL GERAL,MT,800421776.74629,2016-07-31
TOTAL GERAL,PA,845415385.5395691,2016-07-31
TOTAL GERAL,PB,481958829.2933329,2016-07-31
TOTAL GERAL,PE,1991200987.2515566,2016-07-31
TOTAL GERAL,PI,310382785.5176293,2016-07-31
TOTAL GERAL,PR,5341991441.010975,2016-07-31
TOTAL GERAL,RJ,16914908868.513018,2016-07-31
TOTAL GERAL,RN,448394979.54050756,2016-07-31
TOTAL GERAL,RO,249486088.7147629,2016-07-31
TOTAL GERAL,RR,81254931.71373229,2016-07-31
TOTAL GERAL,RS,5474981214.002457,2016-07-31
TOTAL GERAL,SC,3934074635.9758663,2016-07-31
TOTAL GERAL,SE,315396883.7483362,2016-07-31
